Date,Spot,hour
2016-01-08 00:00:00,24.36,0.0
2016-01-08 01:00:00,19.33,1.0
2016-01-08 02:00:00,16.1,2.0
2016-01-08 03:00:00,15.0,3.0
2016-01-08 04:00:00,15.0,4.0
2016-01-08 05:00:00,18.14,5.0
2016-01-08 06:00:00,25.21,6.0
2016-01-08 07:00:00,36.46,7.0
2016-01-08 08:00:00,39.53,8.0
2016-01-08 09:00:00,37.69,9.0
2016-01-08 10:00:00,37.66,10.0
2016-01-08 11:00:00,36.91,11.0
2016-01-08 12:00:00,36.13,12.0
2016-01-08 13:00:00,36.13,13.0
2016-01-08 14:00:00,32.99,14.0
2016-01-08 15:00:00,32.08,15.0
2016-01-08 16:00:00,37.16,16.0
2016-01-08 17:00:00,45.0,17.0
2016-01-08 18:00:00,46.97,18.0
2016-01-08 19:00:00,40.09,19.0
2016-01-08 20:00:00,34.61,20.0
2016-01-08 21:00:00,31.52,21.0
2016-01-08 22:00:00,32.5,22.0
2016-01-08 23:00:00,36.1,23.0
2016-01-09 00:00:00,31.11,0.0
2016-01-09 01:00:00,29.0,1.0
2016-01-09 02:00:00,24.3,2.0
2016-01-09 03:00:00,23.23,3.0
2016-01-09 04:00:00,21.96,4.0
2016-01-09 05:00:00,22.45,5.0
2016-01-09 06:00:00,23.07,6.0
2016-01-09 07:00:00,25.0,7.0
2016-01-09 08:00:00,32.11,8.0
2016-01-09 09:00:00,37.12,9.0
2016-01-09 10:00:00,36.13,10.0
2016-01-09 11:00:00,35.76,11.0
2016-01-09 12:00:00,34.06,12.0
2016-01-09 13:00:00,31.54,13.0
2016-01-09 14:00:00,27.92,14.0
2016-01-09 15:00:00,27.0,15.0
2016-01-09 16:00:00,30.5,16.0
2016-01-09 17:00:00,36.99,17.0
2016-01-09 18:00:00,36.8,18.0
2016-01-09 19:00:00,35.0,19.0
2016-01-09 20:00:00,29.0,20.0
2016-01-09 21:00:00,25.01,21.0
2016-01-09 22:00:00,25.1,22.0
2016-01-09 23:00:00,22.28,23.0
2016-01-10 00:00:00,15.58,0.0
2016-01-10 01:00:00,19.05,1.0
2016-01-10 02:00:00,16.96,2.0
2016-01-10 03:00:00,12.75,3.0
2016-01-10 04:00:00,10.81,4.0
2016-01-10 05:00:00,10.85,5.0
2016-01-10 06:00:00,9.85,6.0
2016-01-10 07:00:00,13.47,7.0
2016-01-10 08:00:00,16.24,8.0
2016-01-10 09:00:00,19.41,9.0
2016-01-10 10:00:00,20.12,10.0
2016-01-10 11:00:00,21.85,11.0
2016-01-10 12:00:00,22.93,12.0
2016-01-10 13:00:00,21.24,13.0
2016-01-10 14:00:00,20.53,14.0
2016-01-10 15:00:00,21.45,15.0
2016-01-10 16:00:00,23.92,16.0
2016-01-10 17:00:00,26.58,17.0
2016-01-10 18:00:00,35.0,18.0
2016-01-10 19:00:00,33.0,19.0
2016-01-10 20:00:00,30.66,20.0
2016-01-10 21:00:00,26.89,21.0
